PGC            HYPERLEDA_NAME                    COUNTERPART_NAME                 OBJECT_TYPE   RA          DEC         (m-M)       ERR_(m-M)    DL[Mpc]     ERR_LN(DL)  Kt          ERR_Kt      
16517          NGC1744                           NGC1744                          G             74.99       -26.02      29.95       0.26        9.78        0.119       10.17       0.52        
32192          NGC3368                           NGC3368                          G             161.69      11.82       29.96       0.02        9.79        0.009       6.33        0.06        
31968          NGC3344                           NGC3344                          G             160.88      24.92       29.96       0.27        9.82        0.122       7.53        0.16        
34030          NGC3556                           NGC3556                          G             167.88      55.67       29.96       0.28        9.83        0.128       7.05        0.06        
9031           NGC0891                           NGC0891                          G             35.64       42.35       29.97       0.04        9.85        0.020       5.94        0.03        
19562          NGC2283                           NGC2283                          G             101.47      -18.21      29.97       0.40        9.86        0.184       8.87        0.09        
32287          NGC3380                           NGC3380                          G             162.05      28.60       29.98       1.40        9.92        0.644       9.94        0.04        
32007          NGC3351                           NGC3351                          G             160.99      11.70       29.99       0.02        9.93        0.007       6.70        0.10        
68618          IC5201                            IC5201                           G             335.24      -46.04      29.99       0.28        9.94        0.127       9.99        0.66        
40095          NGC4312                           NGC4312                          G             185.63      15.54       30.00       0.27        10.0        0.125       8.85        0.11        
43345          PGC043345                         PGC043345                        G             192.35      -10.12      30.01       1.03        10.1        0.475       10.54       1.01        
5974           NGC0628                           NGC0628                          G             24.17       15.78       30.03       0.02        10.1        0.011       6.95        0.19        
11812          ESO300-014                        ESO300-014                       G             47.41       -41.03      30.04       0.27        10.2        0.123       10.14       0.17        
37618          NGC3990                           NGC3990                          G             179.40      55.46       30.04       0.28        10.2        0.129       9.58        0.05        
9665           NGC0959                           NGC0959                          G             38.10       35.49       30.07       0.36        10.3        0.164       9.68        0.13        
41333          NGC4490                           NGC4490                          G             187.65      41.64       30.07       0.88        10.3        0.405       7.37        0.08        
34257          NGC3593                           NGC3593                          G             168.65      12.82       30.07       1.58        10.3        0.727       7.44        0.07        
16617          NGC1796                           NGC1796                          G             75.68       -61.14      30.07       1.56        10.3        0.716       9.75        0.10        
16120          NGC1679                           NGC1679                          G             72.48       -31.97      30.07       0.37        10.3        0.172       9.82        0.14        
41546          NGC4506                           NGC4506                          G             188.04      13.42       30.07       1.60        10.3        0.735       10.30       0.10        
15388          IC2085                            IC2085                           G             67.85       -54.42      30.07       1.61        10.3        0.741       10.42       0.07        
17978          PGC017978                         PGC017978                        G             87.73       -14.78      30.07       1.58        10.3        0.729       10.49       0.23        
148081         PGC148081                         PGC148081                        G             87.86       -10.25      30.07       1.63        10.3        0.750       10.63       0.09        
58985          ESO179-013                        ESO179-013                       G             251.83      -57.44      30.07       1.57        10.3        0.724       10.91       0.20        
4681109        6dFJ2015506-122748                6dFJ2015506-122748               G             303.96      -12.46      30.07       1.58        10.3        0.729       11.13       0.02        
15285          PGC015285                         PGC015285                        G             67.41       -27.41      30.07       1.58        10.3        0.727       11.15       0.21        
17965          PGC017965                         PGC017965                        G             87.57       -10.30      30.07       1.55        10.3        0.714       11.32       0.59        
64718          PGC064718                         PGC064718                        G             306.89      -55.09      30.07       1.64        10.3        0.754       11.39       0.16        
86284          PGC086284                         PGC086284                        G             90.61       14.85       30.07       1.57        10.3        0.723       11.53       0.26        
